Tabla,NombreProducto,Clase,País
Union Europea,Πεζά Ηρακλείου Κρήτης,"Oils and fats (butter, margarine, etc.)",Revisar
Union Europea,Peza Irakliou Kritis,"Oils and fats (butter, margarine, etc.)",Revisar
Union Europea,Σητεία Λασιθίου Κρήτης,"Oils and fats (butter, margarine, etc.)",Revisar
Union Europea,Sitia Lasithiou Kritis,"Oils and fats (butter, margarine, etc.)",Revisar
Union Europea,Φέτα,Cheeses,Revisar
Union Europea,Feta,Cheeses,Revisar
Union Europea,Χανιά Κρήτης,"Oils and fats (butter, margarine, etc.)",Revisar
Union Europea,Chania Kritis,"Oils and fats (butter, margarine, etc.)",Revisar
Union Europea,Aceite de la Rioja,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Aceite de Terra Alta,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Oli de Terra Alta,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Aceite del Baix Ebre-Montsià,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Oli del Baix Ebre-Montsià,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Aceite del Bajo Aragón,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Alfajor de Medina Sidonia,"Bread, pastry, cakes, confectionery, biscuits and other baker’s wares",Spain
Union Europea,Antequera,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Azafrán de la Mancha,other products of Annex I of the Treaty (spices etc.),Spain
Union Europea,Baena,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Carne de Vacuno del País Vasco,Fresh meat (and offal),Spain
Union Europea,Euskal Okela,Fresh meat (and offal),Spain
Union Europea,Cecina de León,"Meat products (cooked, salted, smoked, etc.)",Spain
Union Europea,Chorizo Riojano,"Meat products (cooked, salted, smoked, etc.)",Spain
Union Europea,Cítricos Valencianos; Cítrics Valencians,"Fruit, vegetables and cereals fresh or processed",Spain
Union Europea,Dehesa de Extremadura,"Meat products (cooked, salted, smoked, etc.)",Spain
Union Europea,Estepa,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Guijuelo,"Meat products (cooked, salted, smoked, etc.)",Spain
Union Europea,Idiazabal,Cheeses,Spain
Union Europea,Jabugo,"Meat products (cooked, salted, smoked, etc.)",Spain
Union Europea,Jamón de Trevélez,"Meat products (cooked, salted, smoked, etc.)",Spain
Union Europea,Jamón de Teruel/ Paleta de Teruel ,"Meat products (cooked, salted, smoked, etc.)",Spain
Union Europea,Jijona ,"Bread, pastry, cakes, confectionary, biscuits and other baker's wares",Spain
Union Europea,Les Garrigues,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Los Pedroches,"Meat products (cooked, salted, smoked, etc.)",Spain
Union Europea,Mahón-Menorca,Cheeses,Spain
Union Europea,Pimentón de la Vera,other products of Annex I of the Treaty (spices etc.),Spain
Union Europea,Pimentón de Murcia,other products of Annex I of the Treaty (spices etc.),Spain
Union Europea,Polvorones de Estepa,"Bread, pastry, cakes, confectionary, biscuits and other baker's wares",Spain
Union Europea,Priego de Córdoba,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Queso Manchego ,Cheeses,Spain
Union Europea,Queso Tetilla,Cheeses,Spain
Union Europea,Queixo Tetilla,Cheeses,Spain
Union Europea,Salchichón de Vic,"Meat products (cooked, salted, smoked, etc.)",Spain
Union Europea,Llonganissa de Vic,"Meat products (cooked, salted, smoked, etc.)",Spain
Union Europea,Sidra de Asturias,other products of Annex I of the Treaty (spices etc.),Spain
Union Europea,Sidra d'Asturies,other products of Annex I of the Treaty (spices etc.),Spain
Union Europea,Sierra de Cádiz,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Sierra de Cazorla,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Sierra de Segura,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Sierra Mágina,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Siurana ,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Sobrasada de Mallorca,"Meat products (cooked, salted, smoked, etc.)",Spain
Union Europea,Ternera Asturiana,Fresh meat (and offal),Spain
Union Europea,Ternera de Navarra,Fresh meat (and offal),Spain
Union Europea,Nafarroako Aratxea,Fresh meat (and offal),Spain
Union Europea,Ternera Gallega,Fresh meat (and offal),Spain
Union Europea,Torta del Casar,Cheese ,Spain
Union Europea,Turrón de Alicante ,"Bread, pastry, cakes, confectionary, biscuits and other baker's wares",Spain
Union Europea,Vinagre de Jerez,other products of Annex I of the Treaty (spices etc.),Spain
Union Europea,Abondance ,Cheeses,France
Union Europea,Banon,Cheeses,France
Union Europea,Beaufort ,Cheeses,France
Union Europea,Bleu d'Auvergne,Cheeses,France
Union Europea,Bœuf de Charolles,Fresh meat (and offal),France
Union Europea,Brie de Meaux,Cheeses,France
Union Europea,Brillat-Savarin,Cheeses,France
Union Europea,Camembert de Normandie,Cheeses,France
Union Europea,Canard à foie gras du Sud-Ouest,"Meat products (cooked, salted, smoked, etc.)",France
Union Europea,Chalosse,"Meat products (cooked, salted, smoked, etc.)",France
Union Europea,Gascogne,"Meat products (cooked, salted, smoked, etc.)",France
Union Europea,Gers,"Meat products (cooked, salted, smoked, etc.)",France
Union Europea,Landes,"Meat products (cooked, salted, smoked, etc.)",France
Union Europea,Périgord,"Meat products (cooked, salted, smoked, etc.)",France
Union Europea,Quercy,"Meat products (cooked, salted, smoked, etc.)",France
Union Europea,Cantal,Cheeses,France
Union Europea,Cantalet,Cheeses,France
Union Europea,Fourme de Cantal,Cheeses,France
Union Europea,Chabichou du Poitou,Cheeses,France
Union Europea,Chaource ,Cheeses,France
Union Europea,Comté ,Cheeses,France
Union Europea,Crottin de Chavignol,Cheeses,France
Union Europea,Chavignol,Cheeses,France
Union Europea,Emmental de Savoie,Cheeses,France
Union Europea,Époisses,Cheeses,France
Union Europea,Fourme d'Ambert,Cheeses,France
Union Europea,Génisse Fleur d'Aubrac,Fresh meat (and offal),France
Union Europea,Gruyère,Cheeses,France
Union Europea,Huile d'olive de Haute-Provence,"Oils and fats (butter, margarine, etc.)",France
Union Europea,Huile essentielle de lavande de Haute-Provence,Essential oils,France
Union Europea,Essence de lavande de Haute-Provence,Essential oils,France
Union Europea,Huîtres Marennes Oléron,"Fresh fish, molluscs, and crustaceans and products derived therefrom",France
Union Europea,Jambon de Bayonne,"Meat products (cooked, salted, smoked, etc.)",France
Union Europea,Lentille verte du Puy,"Fruit, vegetables and cereals fresh or processed",France
Union Europea,Maroilles,Cheeses,France
Union Europea,Marolles,Cheeses,France
Union Europea,Morbier,Cheeses,France
Union Europea,Munster,Cheeses,France
Union Europea,Munster-Géromé,Cheeses,France
Union Europea,Neufchâtel ,Cheeses,France
Union Europea,Noix de Grenoble ,"Fruit, vegetables and cereals fresh or processed",France
Union Europea,Pont-l'Évêque ,Cheeses,France
Union Europea,Pruneaux d'Agen,"Fruit, vegetables and cereals fresh or processed",France
Union Europea,Pruneaux d'Agen mi-cuits,"Fruit, vegetables and cereals fresh or processed",France
Union Europea,Reblochon,Cheeses,France
Union Europea,Reblochon de Savoie,Cheeses,France
Union Europea,Roquefort,Cheeses,France
Union Europea,Sainte-Maure de Touraine,Cheeses,France
Union Europea,Saint-Marcellin,Cheeses,France
Union Europea,Saint-Nectaire ,Cheeses,France
Union Europea,Tomme de Savoie,Cheeses,France
Union Europea,Tomme des Pyrénées,Cheeses,France
Union Europea,Veau d'Aveyron et du Ségala,Fresh meat (and offal),France
Union Europea,Veau du Limousin,Fresh meat (and offal),France
Union Europea,Volailles de Loué,Fresh meat (and offal),France
Union Europea,Baranjski kulen,"Meat products (cooked, salted, smoked, etc.)",Croatia
Union Europea,Dalmatinski pršut,"Meat products (cooked, salted, smoked, etc.)",Croatia
Union Europea,Istarski pršut,"Meat products (cooked, salted, smoked, etc.)",Revisar
Union Europea,Istrski pršut,"Meat products (cooked, salted, smoked, etc.)",Revisar
Union Europea,Krčki pršut,"Meat products (cooked, salted, smoked, etc.)",Croatia
Union Europea,Csabai kolbász/Csabai vastagkolbász,"Meat products (cooked, salted, smoked, etc.)",Hungary
Union Europea,Gyulai kolbász / Gyulai pároskolbász,"Meat products (cooked, salted, smoked, etc.)",Hungary
Union Europea,Kalocsai fűszerpaprika-őrlemény,other products of Annex I of the Treaty (spices etc.),Hungary
Union Europea,Szegedi fűszerpaprika-őrlemény,other products of Annex I of the Treaty (spices etc.),Hungary
Union Europea,Szegedi paprika,other products of Annex I of the Treaty (spices etc.),Hungary
Union Europea,Szegedi szalámi,"Meat products (cooked, salted, smoked, etc.)",Hungary
Union Europea,Szegedi téliszalámi,"Meat products (cooked, salted, smoked, etc.)",Hungary
Union Europea,Clare Island Salmon,"Fresh fish, molluscs, and crustaceans and products derived therefrom",Ireland
Union Europea,Imokilly Regato,Cheeses,Ireland
Union Europea,Aceto Balsamico di Modena,other products of Annex I of the Treaty (spices etc.),Italy
Union Europea,Aceto balsamico tradizionale di Modena,other products of Annex I of the Treaty (spices etc.),Italy
Union Europea,Aprutino Pescarese,"Oils and fats (butter, margarine, etc.)",Italy
Union Europea,Asiago,Cheeses,Italy
Union Europea,Bresaola della Valtellina,"Meat products (cooked, salted, smoked, etc.)",Italy
Union Europea,Cantuccini Toscani,"Bread, pastry, cakes, confectionary, biscuits and other baker's wares",Italy
Union Europea,Cantucci Toscani,"Bread, pastry, cakes, confectionary, biscuits and other baker's wares",Italy
Union Europea,Coppa Piacentina,"Meat products (cooked, salted, smoked, etc.)",Italy
Union Europea,Cotechino Modena,"Meat products (cooked, salted, smoked, etc.)",Italy
Union Europea,Culatello di Zibello,"Meat products (cooked, salted, smoked, etc.)",Italy
Union Europea,Fontina ,Cheeses,Italy
Union Europea,Garda,"Oils and fats (butter, margarine, etc.)",Italy
Union Europea,Gorgonzola ,Cheeses,Italy
Union Europea,Grana Padano ,Cheeses,Italy
Union Europea,Mela Alto Adige,"Fruit, vegetables and cereals fresh or processed",Italy
Union Europea,Südtiroler Apfel,"Fruit, vegetables and cereals fresh or processed",Italy
Union Europea,Mela Val di Non,"Fruit, vegetables and cereals fresh or processed",Italy
Union Europea,Montasio ,Cheeses,Italy
Union Europea,Mortadella Bologna,"Meat products (cooked, salted, smoked, etc.)",Italy
Union Europea,Mozzarella di Bufala Campana,Cheeses,Italy
Union Europea,Pancetta Piacentina,"Meat products (cooked, salted, smoked, etc.)",Italy
Union Europea,Parmigiano Reggiano,Cheeses,Italy
Union Europea,Pasta di Gragnano,Pasta,Italy
Union Europea,Pecorino Romano,Cheeses,Italy
Union Europea,Pecorino Toscano,Cheeses,Italy
Union Europea,Pomodoro S. Marzano dell'Agro Sarnese-Nocerino,"Fruit, vegetables and cereals fresh or processed",Italy
Union Europea,Prosciutto di Modena,"Meat products (cooked, salted, smoked, etc.)",Italy
Union Europea,Prosciutto di Norcia,"Meat products (cooked, salted, smoked, etc.)",Italy
Union Europea,Prosciutto di Parma,"Meat products (cooked, salted, smoked, etc.)",Italy
Union Europea,Prosciutto di San Daniele,"Meat products (cooked, salted, smoked, etc.)",Italy
Union Europea,Prosciutto Toscano,"Meat products (cooked, salted, smoked, etc.)",Italy
Union Europea,Provolone Valpadana,Cheeses,Italy
Union Europea,Ragusano,Cheeses,Italy
Union Europea,Salamini italiani alla cacciatora,"Meat products (cooked, salted, smoked, etc.)",Italy
Union Europea,Speck Alto Adige,"Meat products (cooked, salted, smoked, etc.)",Italy
Union Europea,Südtiroler Speck,"Meat products (cooked, salted, smoked, etc.)",Italy
Union Europea,Südtiroler Markenspeck,"Meat products (cooked, salted, smoked, etc.)",Italy
Union Europea,Taleggio,Cheeses,Italy
Union Europea,Terra di Bari,"Oils and fats (butter, margarine, etc.)",Italy
Union Europea,Toscano,"Oils and fats (butter, margarine, etc.)",Italy
Union Europea,Veneto Valpolicella,"Oils and fats (butter, margarine, etc.)",Italy
Union Europea,Veneto del Grappa,"Oils and fats (butter, margarine, etc.)",Italy
Union Europea,Veneto Euganei e Berici,"Oils and fats (butter, margarine, etc.)",Italy
Union Europea,Vitellone bianco dell'Appennino Centrale,Fresh meat (and offal),Italy
Union Europea,Zampone Modena,"Meat products (cooked, salted, smoked, etc.)",Italy
Union Europea,Edam Holland,Cheeses,Netherlands (Kingdom of the)
Union Europea,Gouda Holland,Cheeses,Netherlands (Kingdom of the)
Union Europea,Kabanosy ,"Meat products (cooked, salted, smoked, etc.)",Poland
Union Europea,Azeite de Moura,"Oils and fats (butter, margarine, etc.)",Portugal
Union Europea,Azeite do Alentejo Interior,"Oils and fats (butter, margarine, etc.)",Portugal
Union Europea,Azeites da Beira Interior,"Oils and fats (butter, margarine, etc.)",Portugal
Union Europea,Azeite da Beira Baixa,"Oils and fats (butter, margarine, etc.)",Portugal
Union Europea,Azeite da Beira Alta,"Oils and fats (butter, margarine, etc.)",Portugal
Union Europea,Azeite de Trás-os-Montes,"Oils and fats (butter, margarine, etc.)",Portugal
Union Europea,Azeites do Norte Alentejano ,"Oils and fats (butter, margarine, etc.)",Portugal
Union Europea,Azeites do Ribatejo ,"Oils and fats (butter, margarine, etc.)",Portugal
Union Europea,Chouriça de Carne de Vinhais,"Meat products (cooked, salted, smoked, etc.)",Portugal
Union Europea,Linguiça de Vinhais,"Meat products (cooked, salted, smoked, etc.)",Portugal
Union Europea,Chouriço de Portalegre,"Meat products (cooked, salted, smoked, etc.)",Portugal
Union Europea,Pêra Rocha do Oeste,"Fruit, vegetables and cereals fresh or processed",Portugal
Union Europea,Presunto de Barrancos /Paleta de Barrancos,"Meat products (cooked, salted, smoked, etc.)",Portugal
Union Europea,Queijo S. Jorge ,Cheeses,Portugal
Union Europea,Queijo Serra da Estrela ,Cheeses,Portugal
Union Europea,Queijos da Beira Baixa,Cheeses,Portugal
Union Europea,Queijo Picante da Beira Baixa,Cheeses,Portugal
Union Europea,Queijo Amarelo da Beira Baixa,Cheeses,Portugal
Union Europea,Queijo de Castelo Branco,Cheeses,Portugal
Union Europea,Magiun de prune Topoloveni,"Fruit, vegetables and cereals fresh or processed",Romania
Union Europea,Salam de Sibiu,"Meat products (cooked, salted, smoked, etc.)",Romania
Union Europea,Telemea de Ibăneşti,Cheeses,Romania
Union Europea,Kranjska klobasa,"Meat products (cooked, salted, smoked, etc.)",Slovenia
Union Europea,Kraška pancetta ,"Meat products (cooked, salted, smoked, etc.)",Slovenia
Union Europea,Kraški pršut,"Meat products (cooked, salted, smoked, etc.)",Slovenia
Union Europea,Kraški zašink,"Meat products (cooked, salted, smoked, etc.)",Slovenia
Union Europea,Scotch Beef ,Fresh meat (and offal),Revisar
Union Europea,Scottish Farmed Salmon,"Fresh fish, molluscs, and crustaceans and products derived therefrom",Revisar
Union Europea,Welsh Beef,Fresh meat (and offal),Revisar
Union Europea,Welsh lamb,Fresh meat (and offal),Revisar
Union Europea,West Country farmhouse Cheddar cheese,Cheeses,Revisar
Union Europea,White Stilton cheese,Cheeses,Revisar
Union Europea,Blue Stilton cheese,Cheeses,Revisar
Efta,Aargau,Wine,Switzerland and Liechtenstein
Efta,Abricotine,Spirit,Switzerland and Liechtenstein
Efta,Eau-de-vie d’abricot du Valais,Spirit,Switzerland and Liechtenstein
Efta,Absinthe du Val-de-Travers,Spirit,Switzerland and Liechtenstein
Efta,Appenzell Ausserrhoden,Wine,Switzerland and Liechtenstein
Efta,Appenzeller Mostbröckli,Meat,Switzerland and Liechtenstein
Efta,Appenzeller Pantli,Meat,Switzerland and Liechtenstein
Efta,Appenzeller Siedwurst,Meat,Switzerland and Liechtenstein
Efta,Basel-Landschaft,Wine,Switzerland and Liechtenstein
Efta,Basel-Stadt,Wine,Switzerland and Liechtenstein
Efta,Bern,Wine,Switzerland and Liechtenstein
Efta,Berne,Wine,Switzerland and Liechtenstein
Efta,Berner Alpkäse,Cheese,Switzerland and Liechtenstein
Efta,Berner Hobelkäse,Cheese,Switzerland and Liechtenstein
Efta,Berner Zungenwurst,Meat,Switzerland and Liechtenstein
Efta,Bielersee,Wine,Switzerland and Liechtenstein
Efta,Lac de Bienne,Wine,Switzerland and Liechtenstein
Efta,Bonvillars,Wine,Switzerland and Liechtenstein
Efta,Boutefas,Meat,Switzerland and Liechtenstein
Efta,Bündnerfleisch,Meat,Switzerland and Liechtenstein
Efta,Carne secca dei Grigioni,Meat,Switzerland and Liechtenstein
Efta,Viande des Grisons,Meat,Switzerland and Liechtenstein
Efta,Calamin,Wine,Switzerland and Liechtenstein
Efta,Cardon épineux genevois,Vegetable,Switzerland and Liechtenstein
Efta,Chablais,Wine,Switzerland and Liechtenstein
Efta,Château de Choully,Wine,Switzerland and Liechtenstein
Efta,Château de Collex,Wine,Switzerland and Liechtenstein
Efta,Château du Crest,Wine,Switzerland and Liechtenstein
Efta,Cheyres,Wine,Switzerland and Liechtenstein
Efta,Coteau de Bossy,Wine,Switzerland and Liechtenstein
Efta,Coteau de Bourdigny,Wine,Switzerland and Liechtenstein
Efta,Coteau de Chevrens,Wine,Switzerland and Liechtenstein
Efta,Coteau de Choulex,Wine,Switzerland and Liechtenstein
Efta,Coteau de Choully,Wine,Switzerland and Liechtenstein
Efta,Coteau de Genthod,Wine,Switzerland and Liechtenstein
Efta,Coteau de la vigne blanche,Wine,Switzerland and Liechtenstein
Efta,Coteau de Lully,Wine,Switzerland and Liechtenstein
Efta,Coteau de Peissy,Wine,Switzerland and Liechtenstein
Efta,Coteau des Baillets,Wine,Switzerland and Liechtenstein
Efta,Coteaux de Dardagny,Wine,Switzerland and Liechtenstein
Efta,Coteaux de Peney,Wine,Switzerland and Liechtenstein
Efta,Côtes de Landecy,Wine,Switzerland and Liechtenstein
Efta,Côtes de Russin,Wine,Switzerland and Liechtenstein
